1,DEN,BAL
1,BUF,NE
1,CHI,CIN
1,CLE,MIA
1,IND,OAK
1,JAC,KAN
1,NYJ,TB
1,PIT,TEN
1,NO,ATL
1,CAR,SEA
1,DET,MIN
1,SF,GB
1,STL,ARI
1,DAL,NYG
1,WAS,PHI
1,SD,HOU
2,NE,NYJ
2,KAN,DAL
2,ATL,STL
2,PHI,SD
2,HOU,TEN
2,IND,MIA
2,BUF,CAR
2,BAL,CLE
2,GB,WAS
2,CHI,MIN
2,TB,NO
2,ARI,DET
2,OAK,JAC
2,NYG,DEN
2,SEA,SF
2,CIN,PIT
3,PHI,KAN
3,NE,TB
3,NO,ARI
3,TEN,SD
3,CIN,GB
3,BAL,HOU
3,MIN,CLE
3,CAR,NYG
3,DAL,STL
3,WAS,DET
3,MIA,ATL
3,SEA,JAC
3,SF,IND
3,NYJ,BUF
3,PIT,CHI
3,DEN,OAK
4,STL,SF
4,DET,CHI
4,JAC,IND
4,HOU,SEA
4,CLE,CIN
4,BUF,BAL
4,MIN,PIT
4,TB,ARI
4,KAN,NYG
4,TEN,NYJ
4,SD,DAL
4,OAK,WAS
4,DEN,PHI
4,ATL,NE
4,NO,MIA
5,CLE,BUF
5,CIN,NE
5,MIA,BAL
5,IND,SEA
5,TEN,KAN
5,STL,JAC
5,CHI,NO
5,GB,DET
5,NYG,PHI
5,ARI,CAR
5,OAK,SD
5,DAL,DEN
5,SF,HOU
5,ATL,NYJ
6,CHI,NYG
6,MIN,CAR
6,TB,PHI
6,NYJ,PIT
6,KAN,OAK
6,HOU,STL
6,CLE,DET
6,BAL,GB
6,BUF,CIN
6,DEN,JAC
6,SEA,TEN
6,NE,NO
6,SF,ARI
6,DAL,WAS
6,SD,IND
7,ARI,SEA
7,ATL,TB
7,NYJ,NE
7,JAC,SD
7,KAN,HOU
7,MIA,BUF
7,DET,CIN
7,PHI,DAL
7,CAR,STL
7,WAS,CHI
7,TEN,SF
7,PIT,BAL
7,GB,CLE
7,IND,DEN
7,NYG,MIN
8,TB,CAR
8,DET,DAL
8,PHI,NYG
8,KAN,CLE
8,NO,BUF
8,JAC,SF
8,NE,MIA
8,OAK,PIT
8,CIN,NYJ
8,DEN,WAS
8,ARI,ATL
8,MIN,GB
8,STL,SEA
9,MIA,CIN
9,BUF,KAN
9,CAR,ATL
9,WAS,SD
9,NYJ,NO
9,STL,TEN
9,DAL,MIN
9,SEA,TB
9,OAK,PHI
9,NE,PIT
9,CLE,BAL
9,HOU,IND
9,GB,CHI
10,MIN,WAS
10,GB,PHI
10,CHI,DET
10,IND,STL
10,BAL,CIN
10,PIT,BUF
10,TEN,JAC
10,NYG,OAK
10,ATL,SEA
10,SF,CAR
10,ARI,HOU
10,SD,DEN
10,NO,DAL
10,TB,MIA
11,TEN,IND
11,HOU,OAK
11,BUF,NYJ
11,CIN,CLE
11,CHI,BAL
11,MIA,SD
11,JAC,ARI
11,TB,ATL
11,PIT,DET
11,PHI,WAS
11,DEN,KAN
11,SEA,MIN
11,NO,SF
11,NYG,GB
11,CAR,NE
12,ATL,NO
12,MIA,CAR
12,KAN,SD
12,CLE,PIT
12,HOU,JAC
12,BAL,NYJ
12,GB,MIN
12,DET,TB
12,STL,CHI
12,ARI,IND
12,OAK,TEN
12,NYG,DAL
12,NE,DEN
12,WAS,SF
13,DET,GB
13,DAL,OAK
13,BAL,PIT
13,KAN,DEN
13,CLE,JAC
13,IND,TEN
13,PHI,ARI
13,NYJ,MIA
13,MIN,CHI
13,CAR,TB
13,SF,STL
13,BUF,ATL
13,SD,CIN
13,HOU,NE
13,WAS,NYG
13,SEA,NO
14,JAC,HOU
14,NE,CLE
14,CIN,IND
14,TB,BUF
14,BAL,MIN
14,PIT,MIA
14,NYJ,OAK
14,WAS,KAN
14,NO,CAR
14,PHI,DET
14,DEN,TEN
14,ARI,STL
14,SD,NYG
14,SF,SEA
14,GB,ATL
14,CHI,DAL
15,DEN,SD
15,CLE,CHI
15,IND,HOU
15,JAC,BUF
15,ATL,WAS
15,MIA,NE
15,TB,SF
15,NYG,SEA
15,STL,NO
15,MIN,PHI
15,TEN,ARI
15,CAR,NYJ
15,OAK,KAN
15,DAL,GB
15,PIT,CIN
15,DET,BAL
16,CIN,MIN
16,BUF,MIA
16,KAN,IND
16,NYJ,CLE
16,HOU,DEN
16,JAC,TEN
16,WAS,DAL
16,PHI,CHI
16,CAR,NO
16,STL,TB
16,DET,NYG
16,SEA,ARI
16,GB,PIT
16,SD,OAK
16,BAL,NE
16,SF,ATL
17,ATL,CAR
17,MIA,NYJ
17,CIN,BAL
17,NE,BUF
17,PIT,CLE
17,IND,JAC
17,TEN,HOU
17,MIN,DET
17,DAL,PHI
17,CHI,GB
17,NYG,WAS
17,NO,TB
17,SEA,STL
17,OAK,DEN
17,SD,KAN
17,ARI,SF
